category_code_alphabetical,category_code_numerical,video_name_count,category,tiktok_search_prompt,link,MediaInfo_video_length_seconds,MediaInfo_video_length_milliseconds,channel,video_name_count_channel,video_pathway,length_grouping
X,24,hydrodip_2,hydrodip,hydropdipping tumbler,https://www.tiktok.com/@perfectharmonydesign/video/6879493120099126533?q=hydro%20dipping%20tumbler&t=1754761178749,15.812,15812,perfectharmonydesign,hydrodip_2_perfectharmonydesign,stimuli/tiktok_stim_veryfast_social/demos/hydrodip/hydrodip_2_perfectharmonydesign.mp4,demo
X,24,hydrodip_3,hydrodip,hydropdipping tumbler,https://www.tiktok.com/@melissastumblers/video/6989004719125482758?q=hydrodip%20tumbler&t=1754761351959,24.31,24310,melissastumblers,hydrodip_3_melissastumblers,stimuli/tiktok_stim_veryfast_social/demos/hydrodip/hydrodip_3_melissastumblers.mp4,demo
X,24,hydrodip_4,hydrodip,hydropdipping tumbler,https://www.tiktok.com/@afterlife_industries/video/7361862463706664238?q=hydrodip%20tumbler&t=1754761351959,28.821,28821,afterlife_industries,hydrodip_4_afterlife_industries,stimuli/tiktok_stim_veryfast_social/demos/hydrodip/hydrodip_4_afterlife_industries.mp4,demo
X,24,hydrodip_5,hydrodip,hydropdipping tumbler,https://www.tiktok.com/@bekindbecustom/video/7055871187049762095?q=bekind%20tumbler%20hydrodip&t=1754775406681,15.87,15870,bekindbecustom,hydrodip_5_bekindbecustom,stimuli/tiktok_stim_veryfast_social/demos/hydrodip/hydrodip_5_bekindbecustom.mp4,demo
X,24,hydrodip_6,hydrodip,hydropdipping tumbler,https://www.tiktok.com/@annaliamandco/video/6885365081404673285?q=hydro%20dipping%20flask&t=1754764303788,21.812,21812,annaliamandco,hydrodip_6_annaliamandco,stimuli/tiktok_stim_veryfast_social/demos/hydrodip/hydrodip_6_annaliamandco.mp4,demo
Y,25,cars_1,cars,aston martin,https://www.tiktok.com/@officialnovitec/video/7407701771545513248,13.745,13745,officialnovitec,cars_1_officialnovitec,stimuli/tiktok_stim_veryfast_social/demos/cars/cars_1_officialnovitec.mp4,demo
Y,25,cars_2,cars,lamborghini,https://www.tiktok.com/@luxury.speed/video/7475003858863885599?q=lamborghini%20car&t=1754688333790,15.347,15347,luxury.speed,cars_2_luxury.speed,stimuli/tiktok_stim_veryfast_social/demos/cars/cars_2_luxury.speed.mp4,demo
Y,25,cars_3,cars,ferrari,https://www.tiktok.com/@creativebespoke/video/7535916459311009054?q=mclaren%20car&t=1754688395452,18.389,18389,creativebespoke,cars_3_creativebespoke,stimuli/tiktok_stim_veryfast_social/demos/cars/cars_3_creativebespoke.mp4,demo
Y,25,cars_4,cars,mclaren,https://www.tiktok.com/@supercarsworldwide_/video/7501940847328431403?q=bugatti%20car&t=1754688419684,12.631,12631,supercarsworldwide_,cars_4_supercarsworldwide_,stimuli/tiktok_stim_veryfast_social/demos/cars/cars_4_supercarsworldwide_.mp4,demo
Y,25,cars_5,cars,bugatti,https://www.tiktok.com/@luke78491/video/7329287747833826592?q=green%20sports%20car&t=1754789515174,12.631,12631,luke78491,cars_5_luke78491,stimuli/tiktok_stim_veryfast_social/demos/cars/cars_5_luke78491.mp4,demo
Y,25,cars_6,cars,candy red sports car,https://www.tiktok.com/@thecarforum/video/7537151118573358350?q=lime%20green%20ferrari&t=1755188043366,17.251,17251,thecarforum,cars_6_thecarforum,stimuli/tiktok_stim_veryfast_social/demos/cars/cars_6_thecarforum.mp4,demo
